time,N,numThreads,queens
0.00436,4,15,"[1,3,0,2]"
0.0033,4,16,"[2,0,3,1]"
0.00199,4,17,"[1,3,0,2]"
0.00157,4,18,"[1,3,0,2]"
0.00625,4,19,"[1,3,0,2]"
0.00687,4,20,"[2,0,3,1]"
0.00456,5,15,"[3,0,2,4,1]"
0.00218,5,16,"[0,3,1,4,2]"
0.00132,5,17,"[0,2,4,1,3]"
0.00235,5,18,"[2,4,1,3,0]"
0.0034,5,19,"[1,4,2,0,3]"
0.0014,5,20,"[4,1,3,0,2]"
0.02018,6,15,"[2,5,1,4,0,3]"
0.05468,6,16,"[2,5,1,4,0,3]"
0.01101,6,17,"[1,3,5,0,2,4]"
0.02585,6,18,"[1,3,5,0,2,4]"
0.00285,6,19,"[4,2,0,5,3,1]"
0.01047,6,20,"[1,3,5,0,2,4]"
0.03628,7,15,"[4,6,1,5,2,0,3]"
0.00363,7,16,"[2,6,1,3,5,0,4]"
0.00155,7,17,"[3,1,6,4,2,0,5]"
0.01,7,18,"[1,3,0,6,4,2,5]"
0.03644,7,19,"[1,5,2,6,3,0,4]"
0.00403,7,20,"[5,0,2,4,6,1,3]"
0.00576,8,15,"[1,6,4,7,0,3,5,2]"
0.00842,8,16,"[3,6,2,7,1,4,0,5]"
0.01659,8,17,"[7,1,3,0,6,4,2,5]"
0.01459,8,18,"[5,2,0,6,4,7,1,3]"
0.01939,8,19,"[2,5,3,1,7,4,6,0]"
0.00444,8,20,"[6,4,2,0,5,7,1,3]"
0.04264,9,15,"[3,7,4,2,0,5,1,8,6]"
0.12469,9,16,"[5,3,0,6,8,1,7,4,2]"
0.12449,9,17,"[4,0,7,5,2,6,1,3,8]"
0.00271,9,18,"[1,5,0,8,4,7,3,6,2]"
0.05866,9,19,"[5,0,6,3,7,2,4,8,1]"
0.01586,9,20,"[2,8,3,7,4,1,5,0,6]"
0.00495,10,15,"[4,2,7,9,1,3,0,6,8,5]"
0.0986,10,16,"[5,1,9,7,3,8,0,2,4,6]"
0.60407,10,17,"[2,9,5,1,8,6,3,7,0,4]"
0.01909,10,18,"[5,1,8,0,3,6,9,2,4,7]"
0.19935,10,19,"[3,6,8,5,2,0,7,4,1,9]"
0.41874,10,20,"[8,5,2,4,7,0,3,9,6,1]"
0.00465,11,15,"[7,5,2,0,10,6,9,1,4,8,3]"
0.04711,11,16,"[4,6,1,9,7,3,8,2,5,10,0]"
0.0935,11,17,"[1,5,7,10,0,2,6,9,3,8,4]"
0.07778,11,18,"[0,7,4,6,8,10,1,3,5,2,9]"
0.20054,11,19,"[8,0,4,1,7,5,10,2,9,6,3]"
0.08308,11,20,"[1,8,5,0,6,3,10,7,4,2,9]"
0.02063,12,15,"[7,4,10,1,6,11,0,2,9,5,3,8]"
0.17609,12,16,"[10,5,7,9,1,6,2,0,11,4,8,3]"
0.11109,12,17,"[4,7,3,6,9,2,0,5,10,8,1,11]"
0.07344,12,18,"[6,2,11,7,0,3,8,4,1,9,5,10]"
0.04509,12,19,"[11,5,1,9,6,10,2,0,8,4,7,3]"
0.1214,12,20,"[3,8,6,4,10,1,11,5,7,9,0,2]"
0.79871,13,15,"[2,4,9,11,3,10,7,1,12,0,6,8,5]"
0.23607,13,16,"[3,9,11,4,10,7,2,12,1,8,5,0,6]"
0.546,13,17,"[11,8,0,4,10,5,2,9,7,12,3,1,6]"
0.31057,13,18,"[8,12,2,4,10,7,0,3,11,6,1,9,5]"
1.29964,13,19,"[10,5,0,6,9,11,1,7,4,2,12,8,3]"
0.45018,13,20,"[9,5,8,0,3,10,2,7,11,4,12,1,6]"
2.92042,14,15,"[1,9,5,8,0,7,12,2,6,13,10,4,11,3]"
0.26031,14,16,"[11,5,2,4,12,7,9,13,1,8,0,3,6,10]"
0.52431,14,17,"[12,1,3,8,2,13,10,6,11,5,0,4,9,7]"
1.25171,14,18,"[13,3,10,2,5,11,4,7,0,12,1,8,6,9]"
0.18646,14,19,"[10,6,0,3,7,12,2,9,1,13,4,8,11,5]"
1.18387,14,20,"[6,11,13,4,1,3,8,10,12,2,0,5,7,9]"
2.32943,15,15,"[5,3,13,9,12,2,4,7,1,8,11,14,6,0,10]"
8.0409,15,16,"[9,6,1,13,7,3,0,8,12,5,2,11,14,10,4]"
0.04529,15,17,"[14,1,9,6,12,2,7,13,10,3,0,4,11,8,5]"
0.32088,15,18,"[11,8,1,7,4,13,9,0,5,3,12,6,2,14,10]"
0.32073,15,19,"[13,4,8,14,5,10,2,11,3,7,12,1,9,6,0]"
0.81045,15,20,"[9,6,14,2,8,13,7,3,0,12,4,11,5,10,1]"
0.79121,16,15,"[8,13,2,4,7,12,0,3,14,6,15,10,1,11,9,5]"
0.04184,16,16,"[13,7,1,11,2,14,9,4,8,3,0,12,5,15,6,10]"
2.61036,16,17,"[9,12,3,8,4,2,10,13,15,5,0,14,6,11,1,7]"
1.35583,16,18,"[9,7,5,8,14,12,0,15,4,1,11,13,3,6,2,10]"
5.42348,16,19,"[8,5,11,13,1,4,6,0,14,12,15,9,7,2,10,3]"
1.97989,16,20,"[13,5,10,8,1,4,12,0,15,7,11,14,3,9,6,2]"
7.97898,17,15,"[9,7,4,2,8,12,16,3,13,10,5,14,1,11,6,15,0]"
0.36673,17,16,"[9,13,3,7,0,15,1,14,11,6,2,5,10,12,4,8,16]"
4.78491,17,17,"[13,2,6,8,1,11,15,0,4,16,12,9,7,5,3,14,10]"
1.34167,17,18,"[6,15,11,4,7,16,2,5,12,9,0,13,3,10,8,14,1]"
0.78667,17,19,"[2,8,5,12,15,6,11,1,14,4,0,9,16,13,10,3,7]"
2.07157,17,20,"[9,2,8,13,4,1,11,0,16,6,12,10,15,7,5,3,14]"
0.63522,18,15,"[5,8,11,16,14,7,1,3,9,2,13,10,4,17,0,12,6,15]"
0.48035,18,16,"[3,12,15,5,0,6,10,16,13,1,17,11,7,2,4,9,14,8]"
15.56583,18,17,"[7,9,6,2,13,8,17,12,10,15,4,0,3,14,11,1,16,5]"
5.68178,18,18,"[10,12,4,9,5,3,15,0,8,17,13,7,16,1,11,14,6,2]"
6.45782,18,19,"[0,9,13,5,8,15,7,10,3,16,6,17,11,1,4,12,14,2]"
6.71505,18,20,"[10,6,9,16,2,0,3,7,17,15,11,1,14,4,13,8,12,5]"
8.60127,19,15,"[9,15,8,5,1,6,16,10,13,17,2,4,12,0,18,14,11,3,7]"
0.27988,19,16,"[10,17,15,1,8,2,13,7,14,0,3,16,4,12,9,18,5,11,6]"
6.75688,19,17,"[7,11,17,5,2,9,15,13,16,6,0,12,4,18,8,3,1,10,14]"
1.51979,19,18,"[2,13,8,17,14,4,11,1,15,7,3,0,9,16,5,10,12,18,6]"
23.18251,19,19,"[13,9,5,14,0,3,10,17,1,18,2,8,11,15,4,6,16,12,7]"
8.12351,19,20,"[9,13,2,5,12,1,7,17,11,8,16,0,3,18,6,10,14,4,15]"
1.81296,20,15,"[10,2,9,15,13,7,17,1,12,4,6,16,3,19,11,14,8,5,18,0]"
13.99288,20,16,"[5,10,14,11,17,3,1,6,9,19,16,13,0,7,18,4,2,8,15,12]"
11.55869,20,17,"[5,19,11,15,0,3,10,7,16,12,1,6,18,2,13,17,9,14,8,4]"
29.74057,20,18,"[14,9,15,19,5,2,12,6,11,3,17,0,16,18,7,1,4,13,8,10]"
3.45054,20,19,"[3,11,9,7,15,19,12,2,17,6,4,16,5,0,14,1,18,13,8,10]"
11.59963,20,20,"[7,14,10,5,16,1,17,2,6,8,15,0,18,13,4,19,3,11,9,12]"
17.95788,21,15,"[7,11,13,17,5,1,15,4,10,14,16,2,20,3,0,19,9,12,6,8,18]"
20.45676,21,16,"[12,14,9,20,6,19,1,11,18,0,15,8,4,7,3,13,16,5,17,2,10]"
12.19476,21,17,"[11,5,0,17,3,18,12,14,16,4,7,1,15,2,8,20,9,13,10,19,6]"
3.43916,21,18,"[1,13,8,12,17,15,3,11,16,4,2,0,10,6,19,14,18,20,9,7,5]"
3.30354,21,19,"[13,18,20,1,14,6,3,16,8,11,5,17,0,4,10,19,15,9,12,2,7]"
9.66423,21,20,"[12,3,15,11,18,16,4,6,1,9,5,17,19,14,10,20,7,2,8,13,0]"
15.05863,22,15,"[16,8,5,14,1,15,19,12,7,21,2,11,20,0,4,6,18,10,13,17,9,3]"
21.77476,22,16,"[11,2,14,19,1,10,12,3,0,16,18,20,7,17,13,6,4,15,8,5,9,21]"
24.4959,22,17,"[9,17,8,18,3,12,7,4,11,5,21,15,0,2,19,13,6,10,20,1,14,16]"
4.61646,22,18,"[13,8,10,17,19,16,5,12,2,7,20,15,3,1,14,21,11,0,4,6,9,18]"
11.51517,22,19,"[13,10,5,17,14,3,11,2,19,21,0,18,12,6,8,16,7,9,20,15,1,4]"
3.9559,22,20,"[17,19,7,0,8,21,4,1,10,15,18,12,2,20,13,6,3,5,14,11,9,16]"
49.45638,23,15,"[4,11,17,2,6,21,7,16,19,0,10,14,5,1,22,20,12,15,13,3,9,18,8]"
19.00612,23,16,"[9,13,15,21,4,1,10,12,3,19,2,22,11,14,7,5,18,20,0,17,6,8,16]"
11.61258,23,17,"[6,8,10,18,4,14,22,19,2,20,15,9,11,0,3,1,17,7,21,12,16,13,5]"
23.25558,23,18,"[13,19,8,4,15,0,18,14,7,5,20,11,6,10,2,17,1,21,16,22,9,12,3]"
104.49517,23,19,"[1,9,18,8,2,4,15,17,10,16,6,22,7,13,3,0,20,5,21,12,14,11,19]"
81.79008,23,20,"[0,6,17,15,12,16,9,5,21,4,1,20,14,7,18,2,22,10,19,3,8,13,11]"
187.76693,24,15,"[10,5,19,6,22,17,13,18,21,11,3,7,4,2,0,16,1,23,9,14,8,15,12,20]"
163.50848,24,16,"[16,18,9,11,17,7,4,21,0,6,15,2,23,19,8,14,1,13,5,22,20,10,12,3]"
67.19809,24,17,"[15,17,12,10,5,16,4,1,21,2,6,13,0,18,11,7,19,23,8,14,3,20,22,9]"
122.75727,24,18,"[10,14,0,21,8,11,15,2,20,16,7,22,17,13,4,23,18,5,19,1,3,6,9,12]"
85.26641,24,19,"[4,13,1,9,6,23,16,2,15,17,11,0,21,7,10,3,19,22,18,12,5,8,20,14]"
36.59985,24,20,"[12,1,8,10,22,19,14,4,23,18,13,5,3,6,0,2,21,15,7,9,16,20,17,11]"
79.83457,25,15,"[8,14,18,20,6,2,7,10,13,5,22,0,12,24,4,21,23,9,1,3,15,19,16,11,17]"
32.74384,25,16,"[0,15,5,2,14,9,13,16,21,11,7,19,24,18,1,6,22,10,8,3,12,4,23,17,20]"
34.23415,25,17,"[7,12,16,8,5,24,22,15,18,6,0,3,11,17,23,9,4,19,14,2,20,10,13,21,1]"
16.57406,25,18,"[22,16,13,4,14,8,6,20,15,0,19,5,2,11,18,10,24,3,1,7,17,23,21,12,9]"
27.17655,25,19,"[4,15,12,6,23,5,7,14,0,24,16,20,10,2,11,8,21,3,17,13,22,9,18,1,19]"
61.88187,25,20,"[5,12,21,15,11,3,16,4,22,1,18,10,14,6,0,9,19,8,2,23,20,17,7,24,13]"
24.22269,26,15,"[15,12,4,8,24,5,23,17,22,18,6,1,7,20,11,16,10,3,0,2,19,25,14,21,13,9]"
274.62087,26,16,"[8,16,13,17,5,25,23,20,4,12,9,15,21,1,14,7,0,19,24,6,3,11,2,18,22,10]"
67.95653,26,17,"[17,21,2,7,1,10,20,22,15,5,8,0,13,3,6,23,18,16,12,25,4,24,9,14,19,11]"
419.55535,26,18,"[8,22,4,15,18,21,23,10,2,0,6,3,16,20,7,24,14,17,1,25,5,11,9,12,19,13]"
21.86291,26,19,"[11,2,16,20,13,1,9,25,6,17,10,8,24,18,7,19,23,5,12,14,22,4,21,15,0,3]"
428.4052,26,20,"[20,16,6,19,25,8,13,0,3,1,18,7,9,2,12,15,17,22,24,21,4,11,5,14,23,10]"
907.87868,27,15,"[16,20,25,21,0,26,9,12,5,11,23,19,13,22,3,8,6,1,24,7,18,15,17,14,10,4,2]"
166.13154,27,16,"[14,19,15,8,12,16,6,0,10,1,20,2,7,22,26,21,17,11,25,4,24,18,3,9,13,23,5]"
1266.41337,27,17,"[20,26,12,18,11,13,3,5,2,22,15,0,4,9,23,14,17,7,24,21,8,25,1,16,19,10,6]"
9.9966,27,18,"[15,8,3,13,16,25,1,5,11,18,14,24,9,0,19,26,2,23,20,7,12,10,22,6,4,21,17]"
23.15736,27,19,"[6,17,13,22,8,25,7,0,16,1,23,11,15,4,9,24,26,3,14,2,18,20,12,5,21,19,10]"
0.70051,27,20,"[23,14,17,15,2,7,22,24,9,13,10,5,20,1,19,11,25,4,21,18,26,6,8,12,16,0,3]"
136.06083,28,15,"[21,18,3,10,14,25,5,16,6,13,2,23,12,27,19,11,22,0,7,9,17,15,24,26,8,4,1,20]"
783.66669,28,16,"[13,15,7,5,20,22,25,10,4,16,18,9,23,2,24,19,3,26,12,14,21,27,0,6,8,1,11,17]"
715.65749,28,17,"[16,12,7,20,13,15,18,0,26,23,17,11,9,1,22,4,2,8,19,21,24,27,25,3,6,10,5,14]"
572.15811,28,18,"[14,5,7,15,6,3,25,13,24,18,27,12,1,16,22,26,23,17,10,0,2,4,8,20,9,19,21,11]"
719.31599,28,19,"[16,19,17,10,24,2,5,18,27,21,8,6,14,26,1,7,25,20,11,13,3,12,23,4,0,9,22,15]"
35.44135,28,20,"[2,14,23,20,24,11,5,10,27,18,26,3,22,7,12,4,17,25,0,19,1,9,15,8,21,16,6,13]"
149.49442,29,15,"[6,15,10,23,0,2,19,14,7,18,21,27,1,16,8,3,28,22,5,11,4,25,12,24,9,20,17,13,26]"
1164.23953,29,16,"[20,13,2,8,25,11,24,26,19,23,27,12,7,28,1,6,9,21,17,3,22,18,14,5,10,15,0,4,16]"
364.40393,29,17,"[17,21,26,13,2,5,8,11,22,18,25,10,3,0,20,23,9,12,15,1,6,24,14,28,7,19,27,16,4]"
222.77408,29,18,"[12,8,3,19,2,27,5,17,28,9,18,16,25,10,20,26,4,0,13,23,1,24,7,15,11,14,22,6,21]"
39.04675,29,19,"[23,16,11,28,10,13,20,12,4,19,26,5,15,2,25,22,14,21,6,3,0,8,24,9,1,17,7,18,27]"
55.2823,29,20,"[18,14,23,3,24,27,11,16,12,10,2,28,26,1,7,9,0,13,4,22,15,6,20,25,21,8,5,17,19]"
92.77964,30,15,"[20,10,16,4,22,27,25,7,2,8,26,23,18,6,19,12,0,24,28,5,3,29,13,15,1,14,21,17,9,11]"
287.98975,30,16,"[18,29,19,24,15,5,10,2,9,25,1,14,17,0,26,22,6,27,20,28,3,7,11,16,12,21,23,8,4,13]"
497.0863,30,17,"[11,9,12,6,28,23,20,14,4,29,3,13,25,2,19,7,15,8,24,0,10,18,5,17,22,26,21,27,1,16]"
1325.80986,30,18,"[23,4,1,9,17,29,13,18,8,0,25,15,26,5,22,2,12,27,19,24,10,6,11,16,7,20,28,21,14,3]"
1067.53271,30,19,"[10,12,29,21,8,14,26,19,0,24,11,7,17,27,2,15,1,3,5,25,23,18,16,4,13,20,28,9,6,22]"
207.26025,30,20,"[15,21,9,24,2,5,10,13,25,4,7,3,22,27,16,20,29,26,19,6,28,11,1,8,18,14,12,23,0,17]"
1704.00105,31,15,"[15,9,0,23,13,17,19,2,4,25,14,30,6,1,28,22,5,27,21,16,26,12,7,24,3,18,10,29,20,11,8]"
13901.13324,31,16,"[20, 16, 19, 1, 18, 30, 27, 6, 10, 0, 5, 8, 17, 14, 23, 9, 26, 29, 21, 11, 24, 28, 12, 2, 4, 25, 22, 13, 3, 7, 15]"
26791.24382,31,17,"[26, 8, 12, 5, 17, 1, 28, 18, 9, 21, 30, 16, 27, 6, 23, 3, 20, 14, 24, 4, 15, 29, 2, 10, 22, 7, 25, 11, 19, 0, 13]"
58.84002,31,18,"[3, 16, 30, 9, 17, 19, 0, 24, 6, 18, 1, 11, 13, 5, 2, 27, 12, 22, 29, 21, 28, 25, 8, 20, 14, 10, 15, 26, 23, 4, 7]"
3039.11389,31,19,"[22, 1, 5, 14, 2, 28, 7, 11, 20, 25, 19, 24, 27, 10, 16, 0, 8, 4, 9, 26, 30, 17, 3, 29, 12, 15, 6, 21, 23, 18, 13]"
1519.28084,31,20,"[12, 19, 28, 10, 0, 27, 25, 4, 21, 14, 30, 11, 26, 3, 5, 9, 20, 18, 29, 2, 8, 6, 24, 22, 17, 1, 13, 16, 23, 15, 7]"
112.18459,32,15,"[15, 18, 5, 10, 13, 23, 31, 3, 1, 22, 30, 27, 14, 17, 6, 21, 7, 12, 26, 8, 25, 0, 2, 20, 9, 24, 16, 28, 4, 29, 11, 19]"
23068.48917,32,16,"[31, 15, 11, 16, 5, 13, 2, 22, 27, 1, 28, 6, 3, 23, 8, 18, 21, 24, 7, 30, 10, 0, 26, 20, 4, 25, 19, 12, 14, 17, 29, 9]"
792.22016,32,17,"[18, 20, 24, 16, 31, 29, 9, 0, 23, 7, 1, 27, 8, 19, 25, 15, 30, 12, 4, 6, 22, 2, 5, 13, 28, 3, 11, 26, 17, 21, 14, 10]"
482.65143,32,18,"[5, 31, 10, 0, 19, 12, 25, 28, 20, 13, 16, 7, 26, 23, 15, 9, 27, 30, 3, 18, 29, 4, 17, 21, 24, 2, 8, 6, 14, 1, 11, 22]"
5710.43895,32,19,"[25, 5, 1, 23, 16, 7, 28, 12, 9, 18, 26, 30, 6, 20, 10, 0, 13, 27, 24, 19, 2, 11, 8, 31, 15, 3, 29, 4, 21, 17, 22, 14]"
535.79636,32,20,"[21, 11, 18, 22, 5, 12, 24, 6, 3, 13, 27, 16, 2, 25, 20, 28, 31, 1, 15, 30, 9, 29, 10, 0, 7, 17, 19, 14, 8, 23, 26, 4]"
1808.04741,33,15,"[8, 5, 20, 29, 24, 0, 15, 17, 21, 9, 31, 26, 23, 3, 28, 16, 7, 10, 2, 25, 18, 13, 4, 30, 1, 11, 14, 6, 22, 32, 27, 12, 19]"
2059.22417,33,16,"[3, 22, 14, 25, 17, 0, 32, 4, 19, 13, 24, 9, 31, 28, 1, 20, 8, 27, 11, 7, 29, 12, 18, 23, 30, 26, 16, 5, 2, 10, 15, 6, 21]"
25685.37318,33,17,"[26, 29, 15, 22, 10, 7, 3, 17, 8, 27, 13, 18, 32, 2, 19, 31, 12, 25, 4, 28, 1, 20, 9, 11, 16, 23, 30, 0, 21, 24, 5, 14, 6]"
18526.12965,33,18,"[27, 18, 20, 17, 24, 4, 2, 22, 15, 6, 3, 30, 0, 23, 16, 9, 5, 8, 31, 19, 28, 25, 12, 21, 29, 7, 13, 10, 14, 32, 1, 26, 11]"
167.813,33,19,"[3, 15, 13, 20, 26, 32, 18, 28, 10, 25, 29, 1, 9, 7, 12, 16, 11, 0, 23, 27, 24, 21, 31, 22, 30, 4, 2, 5, 8, 14, 19, 17, 6]"
3570.58524,33,20,"[4, 12, 8, 17, 24, 20, 15, 23, 27, 7, 22, 11, 5, 21, 13, 0, 10, 6, 1, 32, 30, 26, 2, 14, 25, 28, 16, 19, 3, 31, 18, 9, 29]"
10565.06252,34,15,"[26, 15, 31, 12, 8, 16, 14, 24, 3, 0, 25, 21, 30, 9, 33, 28, 2, 19, 6, 4, 17, 20, 29, 7, 1, 23, 27, 32, 11, 5, 10, 18, 13, 22]"
7717.14089,34,16,"[7, 18, 27, 11, 32, 29, 2, 20, 22, 19, 15, 12, 1, 31, 8, 6, 25, 16, 0, 23, 4, 33, 28, 26, 14, 10, 21, 24, 30, 3, 9, 17, 5, 13]"
5227.65614,34,17,"[12, 16, 8, 2, 24, 19, 7, 4, 10, 0, 28, 3, 17, 13, 27, 25, 32, 6, 29, 1, 23, 11, 20, 31, 33, 21, 30, 22, 5, 15, 9, 14, 26, 18]"
22412.29238,34,18,"[18, 30, 12, 6, 29, 7, 20, 0, 27, 8, 17, 26, 4, 21, 5, 31, 25, 11, 14, 2, 10, 32, 1, 24, 28, 23, 3, 33, 16, 13, 15, 9, 19, 22]"
49740.36681,34,19,"[24, 18, 7, 12, 3, 17, 10, 27, 31, 2, 32, 22, 19, 28, 11, 13, 16, 0, 26, 8, 30, 5, 1, 25, 14, 21, 29, 33, 23, 6, 15, 9, 20, 4]"
1474.05379,34,20,"[12, 7, 24, 33, 3, 0, 19, 4, 26, 11, 14, 21, 28, 5, 2, 16, 23, 13, 32, 8, 1, 30, 22, 10, 29, 18, 9, 25, 31, 20, 15, 17, 6, 27]"
0.00278,4,31,"[1, 3, 0, 2]"
0.00174,4,32,"[1, 3, 0, 2]"
0.00231,4,33,"[2, 0, 3, 1]"
0.0022,4,34,"[2, 0, 3, 1]"
0.00198,4,35,"[2, 0, 3, 1]"
0.00278,4,36,"[2, 0, 3, 1]"
0.00322,4,37,"[1, 3, 0, 2]"
0.00391,4,38,"[2, 0, 3, 1]"
0.00399,4,39,"[1, 3, 0, 2]"
0.00609,4,40,"[2, 0, 3, 1]"
0.00188,5,31,"[3, 0, 2, 4, 1]"
0.00251,5,32,"[2, 4, 1, 3, 0]"
0.00201,5,33,"[3, 1, 4, 2, 0]"
0.00197,5,34,"[2, 0, 3, 1, 4]"
0.00249,5,35,"[4, 2, 0, 3, 1]"
0.00179,5,36,"[0, 3, 1, 4, 2]"
0.00219,5,37,"[1, 4, 2, 0, 3]"
0.00229,5,38,"[3, 0, 2, 4, 1]"
0.00236,5,39,"[3, 1, 4, 2, 0]"
0.00212,5,40,"[3, 0, 2, 4, 1]"
0.00397,6,31,"[3, 0, 4, 1, 5, 2]"
0.01662,6,32,"[1, 3, 5, 0, 2, 4]"
0.00566,6,33,"[2, 5, 1, 4, 0, 3]"
0.00573,6,34,"[4, 2, 0, 5, 3, 1]"
0.0181,6,35,"[2, 5, 1, 4, 0, 3]"
0.00403,6,36,"[1, 3, 5, 0, 2, 4]"
0.01267,6,37,"[2, 5, 1, 4, 0, 3]"
0.00595,6,38,"[4, 2, 0, 5, 3, 1]"
0.01016,6,39,"[4, 2, 0, 5, 3, 1]"
0.01499,6,40,"[3, 0, 4, 1, 5, 2]"
0.00217,7,31,"[3, 0, 2, 5, 1, 6, 4]"
0.00979,7,32,"[2, 4, 6, 1, 3, 5, 0]"
0.00564,7,33,"[3, 5, 0, 2, 4, 6, 1]"
0.00591,7,34,"[1, 6, 4, 2, 0, 5, 3]"
0.00578,7,35,"[1, 3, 5, 0, 2, 4, 6]"
0.0034,7,36,"[6, 3, 0, 4, 1, 5, 2]"
0.0155,7,37,"[2, 4, 6, 1, 3, 5, 0]"
0.00488,7,38,"[2, 0, 5, 3, 1, 6, 4]"
0.00814,7,39,"[1, 5, 2, 6, 3, 0, 4]"
0.01023,7,40,"[1, 6, 4, 2, 0, 5, 3]"
0.01423,8,31,"[6, 4, 2, 0, 5, 7, 1, 3]"
0.00567,8,32,"[1, 7, 5, 0, 2, 4, 6, 3]"
0.01083,8,33,"[1, 5, 7, 2, 0, 3, 6, 4]"
0.01021,8,34,"[0, 4, 7, 5, 2, 6, 1, 3]"
0.00534,8,35,"[3, 5, 0, 4, 1, 7, 2, 6]"
